url_length,num_dots,num_hyphens,num_slashes,has_ip,has_at_symbol,suspicious_tld,keyword_count,subdomain_count,label
32,2,0,2,0,0,0,1,1,1
24,2,1,2,0,0,0,0,1,1
30,3,0,2,0,0,0,0,2,1
34,2,0,2,0,0,0,0,1,1
31,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
19,2,0,2,0,0,0,0,1,1
34,2,0,2,0,0,0,0,1,1
23,2,0,2,0,0,0,0,1,0
28,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
22,2,0,2,0,0,0,0,1,1
22,2,0,2,0,0,0,0,1,1
23,3,0,2,0,0,0,0,2,1
29,2,0,2,0,0,0,0,1,1
30,2,0,2,0,0,0,0,1,1
34,4,0,2,0,0,0,0,3,1
26,2,0,2,0,0,0,0,1,1
37,2,0,2,0,0,0,0,1,1
22,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
24,3,0,2,0,0,0,0,2,1
33,2,0,2,0,0,0,0,1,1
20,2,0,2,0,0,0,0,1,0
20,2,0,2,0,0,0,0,1,1
28,2,0,2,0,0,0,0,1,0
30,2,0,2,0,0,0,0,1,1
28,2,0,2,0,0,0,0,1,1
28,3,0,2,0,0,0,0,2,1
25,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
20,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
22,2,0,2,0,0,0,0,1,1
31,2,1,3,0,0,0,0,1,0
36,3,0,2,0,0,0,0,2,1
26,2,0,2,0,0,0,0,1,1
18,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
21,2,0,2,0,0,0,0,1,1
24,2,0,2,0,0,0,0,1,0
23,2,0,2,0,0,0,0,1,1
21,2,0,2,0,0,0,0,1,0
29,2,0,2,0,0,0,0,1,1
35,2,0,2,0,0,0,0,1,1
35,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
28,2,0,2,0,0,0,0,1,1
23,3,0,2,0,0,0,0,2,1
20,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
35,2,0,2,0,0,0,0,1,1
28,3,1,2,0,0,0,0,2,1
41,2,0,2,0,0,0,0,1,1
29,2,0,2,0,0,0,0,1,1
19,2,0,2,0,0,0,0,1,1
31,2,0,2,0,0,0,0,1,1
34,4,0,2,0,0,0,0,3,1
26,2,0,2,0,0,0,0,1,1
21,3,0,2,0,0,0,0,2,1
21,2,0,2,0,0,0,0,1,1
35,2,0,2,0,0,0,0,1,1
29,2,0,2,0,0,0,0,1,1
23,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
32,2,2,2,0,0,0,0,1,1
22,2,0,2,0,0,0,0,1,1
31,2,0,2,0,0,0,0,1,1
23,3,0,2,0,0,0,0,2,1
25,2,0,2,0,0,0,0,1,1
21,2,0,2,0,0,0,0,1,1
22,3,0,2,0,0,0,0,2,1
31,2,0,2,0,0,0,0,1,1
21,2,0,2,0,0,0,0,1,1
18,2,0,2,0,0,0,0,1,1
24,2,0,2,0,0,0,0,1,1
31,2,1,2,0,0,0,0,1,1
47,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
36,2,0,2,0,0,0,0,1,1
31,2,0,2,0,0,0,0,1,1
24,3,0,2,0,0,0,0,2,1
21,2,0,2,0,0,0,0,1,1
25,2,0,2,0,0,0,0,1,1
33,3,0,2,0,0,0,0,2,1
30,3,1,2,0,0,0,0,2,1
23,2,0,2,0,0,0,0,1,1
27,3,0,2,0,0,0,0,2,1
23,2,1,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
28,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
27,2,0,2,0,0,0,0,1,1
39,2,0,2,0,0,0,0,1,1
40,2,0,2,0,0,0,0,1,1
28,2,0,2,0,0,0,0,1,1
26,2,0,2,0,0,0,0,1,1
31,2,0,2,0,0,0,0,1,1
32,2,2,2,0,0,0,0,1,1
21,3,0,2,0,0,0,0,2,1
31,2,0,2,0,0,0,0,1,1
32,2,1,2,0,0,0,0,1,1
