num_forms,num_password_inputs,num_iframes,num_scripts,num_external_scripts,num_links,file_id,label
1,0,0,36,27,108,1,1
0,0,1,39,17,252,10,1
0,0,0,22,16,25,100,1
1,0,11,26,19,207,1000,1
1,0,0,12,8,519,1002,1
1,1,1,10,5,139,1003,1
1,0,1,86,62,64,1006,1
0,0,0,36,20,36,1009,1
2,0,0,6,4,135,1010,1
0,0,0,28,6,50,1014,1
2,0,0,5,2,62,1015,1
3,1,0,13,11,36,1016,1
1,0,1,9,3,89,1018,1
0,0,0,27,18,142,1021,1
3,0,2,10,5,34,1025,0
1,0,0,60,17,35,1026,1
1,0,0,15,12,277,1027,1
0,0,0,13,4,80,103,1
0,0,0,17,8,24,1030,1
13,0,0,70,38,201,1031,1
0,0,0,14,7,0,1033,0
1,0,0,15,9,162,1035,1
7,0,0,0,0,65,1036,1
1,0,2,25,13,138,1037,1
1,0,1,8,7,78,1038,1
0,0,2,9,9,54,1040,1
2,1,0,5,4,69,1041,1
2,0,2,30,7,369,1042,1
1,0,1,44,26,180,1044,1
2,0,0,6,3,71,1045,1
0,0,2,11,6,70,1046,1
1,0,0,11,5,241,1047,1
3,0,1,82,80,143,1051,1
0,0,0,63,43,68,1053,1
1,0,0,8,3,32,1054,1
2,0,1,17,5,89,1055,1
3,0,5,45,28,228,1057,1
1,0,0,14,8,525,1058,1
0,0,0,5,1,28,1059,1
1,0,1,28,11,300,106,1
0,0,0,2,1,23,1060,1
1,0,0,23,17,195,1063,1
0,0,0,2,1,0,1064,0
2,0,2,3,3,198,1065,1
1,0,1,28,23,298,1066,1
1,0,1,5,0,101,1067,1
1,0,0,39,15,47,1068,1
3,0,0,33,14,252,1069,1
4,0,2,49,34,196,107,1
1,0,0,24,15,192,1070,1
1,0,1,89,52,82,1072,1
3,0,1,22,8,937,1073,1
3,0,0,19,6,965,1074,1
0,0,0,1,0,199,1075,1
0,0,0,3,3,46,1076,1
3,0,0,11,5,275,1077,1
3,0,0,13,11,36,1078,1
0,0,0,20,11,66,1079,1
2,0,0,4,1,90,108,1
2,0,0,58,37,106,1080,1
0,0,0,88,1,68,1082,1
3,0,0,50,15,97,1084,1
0,0,0,0,0,0,1085,0
4,1,1,10,6,142,1088,1
4,0,0,51,16,618,1089,1
0,0,0,29,14,40,1090,1
1,0,0,16,8,510,1092,1
0,0,0,23,11,20,1093,1
3,0,0,16,10,104,1095,1
1,0,1,38,25,402,1098,1
9,0,3,47,14,323,1099,1
1,0,1,15,2,222,11,1
3,0,0,61,57,93,1100,1
2,0,1,4,1,86,1102,1
1,0,0,36,24,50,1105,1
1,0,0,29,12,56,1106,1
2,0,2,71,40,349,1107,1
0,0,0,0,0,0,1108,1
0,0,0,18,18,11,111,1
0,0,0,22,18,84,1110,1
0,0,0,26,17,26,1113,1
3,0,1,17,8,268,1115,1
0,0,1,59,14,241,1117,1
2,0,3,31,16,341,1119,1
1,0,2,7,3,37,1120,1
2,0,1,18,8,36,1124,1
0,0,0,28,11,37,1125,1
1,0,0,12,8,125,1128,1
1,0,0,51,36,124,1129,1
0,0,0,4,2,27,113,1
0,0,0,1,0,0,1130,0
0,0,0,7,7,55,1132,1
1,0,0,12,7,77,1133,1
0,0,0,13,8,65,1134,1
0,0,0,16,14,48,1135,1
0,0,0,0,0,0,1136,0
2,0,0,38,21,80,1137,1
0,0,0,5,4,92,1138,1
2,0,0,20,17,70,114,1
4,0,1,66,23,196,1140,1
3,0,1,13,9,228,1142,1
0,0,0,9,5,0,1143,1
0,0,0,4,3,73,1144,1
0,0,0,53,10,23,1147,1
1,0,0,25,16,72,1148,1
0,0,0,7,3,17,1149,1
0,0,0,35,13,23,1150,1
3,0,5,110,35,255,1151,1
0,0,0,0,0,0,1155,0
3,0,0,26,11,78,1157,1
0,0,1,42,24,132,1158,1
2,0,0,35,25,69,1159,1
1,0,0,33,13,119,116,1
1,0,0,45,15,127,1164,1
2,0,1,87,71,79,1166,1
4,0,2,8,5,120,1167,1
2,0,0,25,17,296,1168,1
3,0,1,39,9,89,1169,1
2,0,1,17,8,82,117,1
1,0,0,55,53,78,1170,1
2,0,1,12,7,134,1171,1
1,0,0,54,33,162,1172,1
0,0,0,4,2,56,1175,1
1,0,0,15,9,19,1176,1
25,0,3,62,23,118,1177,1
0,0,0,29,11,64,1179,1
0,0,0,1,0,110,118,1
5,0,3,15,7,180,1181,1
0,0,1,28,20,56,1182,1
0,0,0,9,7,13,1184,1
0,0,0,12,9,55,1185,1
1,0,1,27,8,454,1187,1
0,0,0,1,0,0,1188,0
6,0,0,29,7,178,119,1
0,0,0,19,16,35,1190,1
0,0,0,15,5,23,1193,1
1,0,1,17,4,107,1194,1
1,0,0,46,27,154,1195,1
1,0,0,42,26,40,1196,1
1,0,1,23,10,32,1197,1
0,0,3,18,15,92,1198,1
2,0,1,18,15,151,1199,1
1,0,0,0,0,19,12,0
2,0,0,56,45,44,120,1
0,0,0,8,3,18,1200,1
1,0,0,6,3,12,1201,1
1,0,0,9,6,32,1202,1
1,0,1,37,21,101,1203,1
1,0,2,59,11,22,1204,1
2,0,0,28,15,257,1205,1
2,1,0,3,2,36,1208,1
3,0,1,15,8,78,1210,1
0,0,0,1,0,0,1212,1
1,0,0,28,14,19,1214,1
0,0,0,3,1,50,1216,1
4,1,0,45,25,133,1217,1
0,0,1,7,2,120,1218,1
